Ano,Salário Mínimo,Salário Referência,Reajuste Salário Mínimo,Reajuste Beneficio Acima SM,Teto Máximo de Contribuição,Vigência
2021,"R$ 1.100,00",,"5,26%","5,45%","R$ 6.433,57",01/2021
2020,"R$ 1.045,00",,"0,58%",,,02/2020
2020,"R$ 1.039,00",,"4,1%","4,48%","R$ 6.101,06",01/2020
2019,"R$ 998,00",,"4,61%","3,43%","R$ 5.839,45",01/2019
2018,"R$ 954,00",,"1,81%","2,07%","R$ 5.645,80",01/2018
2017,"R$ 937,00",,"6,47%","6,58%","R$ 5.531,00",01/2017
2016,"R$ 880,00",,"11,67%","11,28%","R$ 5.189,82",01/2016
2015,"R$ 788,00","R$ 466,37","8,80%","6,23%","R$ 4.663,75",01/2015
2014,"R$ 724,00","R$ 439,02","6,78%","5,56%","R$ 4.390,24",01/2014
2013,"R$ 678,00","R$ 415,90","9,00%","6,20%","R$ 4.159,00",01/2013
2012,"R$ 622,00","R$ 300,05","14,13%","6,08%","R$3.916,20",01/2012
2011,"R$ 545,00","R$ 282,85","0,92%",-- --,"R$ 3.689,66",03/2011
2011,"R$ 540,00","R$ 282,85","5,88%","6,41%","R$ 3.689,66",01/ 2011
2010,"R$ 510,00","R$ 265,84","9,67%","7,72%","R$ 3.416,54",01/ 2010
2009,"R$ 465,00","R$ 250,47",12%,"5,92%","R$ 3.218,90",02/ 2009
2008,"R$ 415,00","R$ 236,48","9,21%",5%,"R$ 3.038,99",03/ 2008
2007,"R$ 380,00","R$ 225,22","8,57%","3,30%","R$ 2.894,28",04/ 2007
2006,"R$ 350,00",,"16,667%",5%,"R$ 2.801,56",04/ 2006
2005,"R$ 300,00",,"15,38%","6,355%","R$ 2.668,15",05/ 2005
05/2004,"R$ 260,00",,"8,3333%","4,53%","R$ 2.508,72",05/2004
01/2004,,,,,"R$ 2.400,00*",01/ 2004
04/2003,"R$ 240,00",,"20,0000%","19,71%","R$ 1.869,34",06/ 2003
2002,"R$ 200,00",,"11,1111%","9,20%","R$ 1.561,56",06/ 2002
2001,"R$ 180,00",,"19,2052%","7,66%","R$ 1.430,00",06/ 2001
2000,"R$ 151,00",,"11,0294%","5,81%","R$ 1.328,55",06/ 2000
